Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
100203;Kühlergrill, 3-teilig, kompl. mit Ecken und Clips,  Golf 1 &Co OE Ref.171853653L;HL;;no;0
100204;Kupplungszug Golf 1 &Co 1,5-1,8l Hubraum, OE Ref. 171721335E;HL;2-J1-202;yes;4
100205;Befestigungsset für Kupplungszug OE Ref. 171798105;HL;N-03-5-5-4;yes;5
100206;Scheinwerfer Re. bzw. Li., ohne LWR, Golf 1 &Co, OE Ref. 171941753A;HL;2-I7-302;yes;8
100207;Kühler mit integriertem Außgleichsbehälter, Netzbreite 430mm, OE Ref. 171121253 BD;HL;3-F5-102;yes;3
100208;Gleitstück, Führungsstück für Sitzschiene vorne Golf &Co bis Bj. 07/80 OE Ref. 321881203;HL;N-05-5-2-1;yes;8
100210;Spritzwasserdüse Vorne, Golf &Co, T4, OE Ref. 191955985A;HL;2-N15-704-1;yes;10
100211;Trichter bzw Halter für Ölmessstab, OE Ref. 049103663;HL;2-M5-103-1;yes;12
100212;Lagersatz Aufhängung Lenkung mechanisch OE Ref. 171419883 und 171419884;HL;;no;0
100213;Gummi zur Befestigung der Kurbelscheibe, Länge 350 mm, OE Ref. 831837565;HL;N-05-3-4-4;yes;8
100215;Domlager, Federbeinstützlager vorne, Golf 1 &Co, OE Ref. 171412329A;HL;2-J6-501;yes;7
100216;Befestigungssatz für Bremsbeläge vorne bis Bj. 81 OE Ref. 321698445;HL;2-N7-202-3;yes;2
100217;Schließbolzen für Türschloss Golf 2 &Co ab Bj. 84 OE Ref. 357837034;HL;2-L2-401-1;yes;23
100218;Blinkerglas in Weiß, Golf &Co mit schmalen Stoßstangen, OE Ref. 191953141A;HL;2-I7-401-1;yes;2
100219;Türkontaktschalter mit schmalem Steckanschluss OE Ref. 113947561H;HL;2-N1-304-4;yes;12
100220;Radschraube für Stahl- und Leichtmetallfelge Golf &Co  OE Ref. 321601139C;HL;2-O5-801-1;yes;79
100221;Verstellknopf Verstellrad für Sitz Schraubversion Golf &Co OE Ref. 191881671;HL;M-05-6-1;yes;8
100222;"Schriftzug""Volkswagen"" in Chrom / Schwarz OE Ref. 321853685C GX2";HL;2-N5-404-2;yes;4
