Produktnummer;Produktname;Lagerkürzel;Lagerplatz;Standardlagerplatz;Bestand
102764;Ansaugschlauch Passat 32b 1,8 Liter 90 PS KE-Jetronic OE Ref. 026133357;HL;2-K4-702;yes;3
102765;Startautomatik für 2E2 - Vergaser, Golf  &Co, Passat, OE Ref. 027129191K;HL;2-N1-205-5;yes;2
102766;Ventilgehäuse für Kurbelgehäuse-Entlüftung Passat 32b OE Ref. 034103247A;HL;2-M5-105-6;yes;8
102770;Dichtung für Heckklappe für Caddy 14d Hardtop, OE Ref. 147827705E;HL;;no;0
102771;Heckklappendichtung der Glasheckklappe vom Hardtop Caddy 14D OE Ref. 147827705D;HL;;no;0
102772;Heckklappendämpfer, Gasdruckdämpfer für Hardtop Heckklappe Caddy 14D OE Ref. 147827550;HL;2-I13-304;yes;4
102773;Schalter für Leuchtweitenregulierung, Caddy 14D, OE Ref. 147941333;HL;2-N7-804-4;yes;1
102774;Radhausschale vorne rechts Golf 1 Cabrio und Caddy OE Ref. 155809958A;HL;3-H6-402;yes;1
102775;Motorhaubenscharnier mit Fanghaken Golf &Co OE Ref. 161823302A;HL;;no;0
102776;Motorlager, Drehmomentstütze Vorne Golf 1 &Co ab 1,5L Hubraum OE Ref. 171199329F;HL;2-L3-402-3;yes;1
102777;Pedalerie, Lagerbock für Pedale, Golf 1 &Co, OE Ref. 171721111G;HL;L-14-0-1-1;yes;3
102778;Kraftstoff Druckregler, Cabrio, Golf 2, mit L-Jetronic, OE-Ref. 037133035;HL;2-L7-606;yes;5
102780;Schelle für Querlenker und Stabilisator, vorne innen, Golf 1 & Co, OE Ref. 171411331;HL;2-K6-102;yes;12
102781;Schlauch für Kurbelwellengehäuseentlüftung, Golf 2 16V KR ab Bj. 08/89, OE Ref. 027103217D;HL;2-F3-705;yes;5
102782;Kühlwasserschlauch, Flansch zu Wasserrohr seitlich, Golf 2 16V, OE Ref. 027121063D;HL;2-H2-402-1;yes;1
102783;Tülle, Dichtung für Kabelbaum Blinker bzw. Chokezug, Golf 1 & Co, OE Ref. 171611751;HL;M-06-3-3-6;yes;4
102784;Kabelbaum, Leitungssatz beheizbare Heckscheibe und Wischermotor hinten, Golf 1, OE Ref. 171971211;HL;;no;0
102785;Tülle, Dichtung, Chokezug, Zug für Heizungsventil oder Unterdruckschlauch, Golf 1 & Co OE 171971913;HL;2-N17-205-2;yes;6
102786;Kühlwasserschlauch, Kühler unten nach Rohr, Golf 2 G60, MKB PG, OE Ref. 191121051R;HL;2-H2-402-3;yes;2
102787;Dichtung für Heizungskanal, Golf 2 & Co, OE Ref. 191819070;HL;;no;0
102788;Kühlwasserschlauch für Innenraum Heizung, Golf 2 & Co, Diesel und 16V, OE Ref. 191819371H;HL;2-H2-304;yes;2
102789;Dichtung für Heckklappenschloß, Golf 2, OE Ref. 191827594;HL;2-L2-401-2;yes;19
102790;Dichtung für oberes Heckklappenscharnier, T3, OE Ref. 251829573B;HL;2-L4-402-5;yes;4
102791;Dichtung für feststehende Dreieckscheibe, Fahrer- oder Beifahrertür, T3, OE Ref. 251837625;HL;2-H1-801;yes;2
102792;Gummischeibe für Kühlergrill, T3, OE Ref. 251853735;HL;2-N13-604-6;yes;31
102794;Kühlwasserschlauch, Ausgleichsbehälter nach Wasserrohr, Golf 2 & Co, MKB KR, OE Ref. 535121109B;HL;2-H2-405-1;yes;1
102795;Gummilager für Stabilisator hinten, Golf 2 & Co, OE Ref. 871511423;HL;2-L1-404-5;yes;2
102796;Kühlwasserschlauch, Verteiler zu Thermostat, T3 1,9L, OE Ref. 025121053C;HL;2-G2-701;yes;1
102797;Kühlwasserschlauch, Ansaugbrücke zu Vergaser, T3 1,9L Syncro, OE Ref. 025121057B;HL;2-I5-404-2;yes;0
102798;Kühlwasserschlauch, Ansaugschlauch zu Vergaser, T3 1,9L, OE Ref. 025121060;HL;;no;0
102799;Kühlwasserschlauch, Kühler Rücklauf zu Entlüfterventil,  T3 1,9L bis Bj.1985, OE Ref. 025121062C;HL;2-I1-204;yes;1
102800;Kühlwasserschlauch, Kühler Rücklauf nach Entlüfterventil, T3 1,9L bis Bj.1985, OE Ref. 025121062;HL;2-I1-303;yes;1
102801;Kühlwasserschlauch, Ausgleichsbehälter zu Wasserpumpe, T3 1,9L bis 07/83, OE Ref. 025121108;HL;2-H2-403-1;yes;1
102802;Schlauch für Kurbelgehäuseentlüftung, T3 1,9L, OE Ref. 025129493A;HL;N-05-2-4-1;yes;2
102803;Verbindungsschlauch, zw. Ansaugschlauch und Leerlaufsteller, Golf 2 & Co ab 10/89, OE Ref. 037133394;HL;M-06-0-3-3;yes;1
102804;Kühlwasserrohr, für Vergaser Modelle, Golf 1 & Co, OE Ref. 055121065M;HL;2-I1-701;yes;2
102805;Kühlwasserschlauch, Wärmetauscher, Heizung vorne zu Rücklauf, T3, OE Ref. 251265054A;HL;2-I1-501;yes;1
102806;Kühlwasserschlauch Wärmetauscher, Heizung Vorlauf, T3, OE Ref. 251265055K;HL;2-I5-103;yes;2
102807;Kühlwasserschlauch, Wärmetauscher, Heizung Rücklauf, T3, OE Ref. 251265057D;HL;2-I3-101;yes;2
102808;Reparaturblech für das Heckfenster, außen Caddy 14D, OE Ref. 179805451;HL;3-H3-610;yes;2
102809;Abblendbarer Innenspiegel, Rückspiegel, Golf & Co, Passat, OE Ref. 803857511 041;HL;;no;0
102810;Stehbolzen, Kopfschraube für Kurbelgehäuse, 222mm, M12x1,5 / M10, T3, OE Ref. 025101143;HL;2-M1-201-2;yes;8
102811;Hutmutter für Stiftschraube bzw. Stehbolzen, M10, T3, OE Ref. N90184101;HL;2-M5-305-1;yes;8
102812;Stehbolzen, Kopfschraube für Kurbelgehäuse, 191mm, M12x1.5/M10, T3, OE Ref. 025101143A;HL;2-M1-201-3;yes;4
102813;Stehbolzen, Kopfschraube für Kurbelgehäuse, 175mm, M12x1.5/M10, T3, OE Ref. 025101143B;HL;2-M1-201-1;yes;4
102814;Halter, Gehäuse für Kennzeichenleuchte, T3, OE Ref.  251943139;HL;2-N7-703-3;yes;5
102815;Kühlwasserschlauch, Entlüfterventil nach Kühler Vorlauf, T3 1,9L bis Bj.1985, OE Ref. 025121102;HL;2-I1-203;yes;1
102816;Dichtung für Ansauganlage, zw. Verteilerstück und Drosselklappe, T3 2,1 L, OE Ref. 025133073;HL;2-M3-403-5;yes;4
102817;Sechskantmutter M10x1 für Ventilspieleinstellung, T3 Benziner, OE Ref. 028109453;HL;2-M3-202-6;yes;32
102818;Einstellschraube M9x1.0 für Ventilspieleinstellung, T3 Benziner, OE Ref. 025109451;HL;2-M5-305-6;yes;12
102819;Einstellschraube M10x1.0 für Ventilspieleinstellung, T3 Benziner, OE Ref. 022109451;HL;2-M5-305-3;yes;8
102820;Kühlwasserschlauch, Thermostatgehäuse zu Wasserrohr, Golf 2 &Co,Polo bis 1,3L, OE Ref. 030121063;HL;2-H2-404-1;yes;2
102821;Kühlwasserschlauch, von Wasserpumpe zu Stutzen Zylinderkopf Golf G60, OE Ref. 037121053C;HL;;no;0
102822;Sechskantmutter M9x1,0 für Ventilspiel-Einstellung, T3 Benziner, OE Ref. N0111531;HL;2-M5-305-4;yes;8
102823;Kühlwasserschlauch zw. Ausgleichbehälter, Flansch, Wasserkühler, Golf G60 Kat, OE Ref. 535121101B;HL;2-I1-202;yes;3
102824;Kühlmittelschlauch zw. Ölkühler und Kühlmittelpumpe, Golf 2 & Co, OE Ref. 037121058;HL;2-H2-604-1;yes;4
102825;Ölrücklaufschlauch für G-Lader Motoren, Golf 2 & Co und Polo, OE Ref. 037145777;HL;M-06-0-2-3;yes;2
102828;Dichtring, 10x13,5mm, OE Ref. N0138115;HL;2-M5-501-4;yes;25
102829;Öldruckleitung für G-Lader Motoren, Golf 2 & Co und Polo, OE Ref. 052145443;HL;;no;0
102830;Stiftschraube mit Sechskant für Lichtmaschine, Golf 2 G60, OE Ref. 037903285A;HL;2-O5-601-4;yes;1
102831;Dichtung für Außenspiegel, Golf 2 &Co bis Bj. 07/1987, OE Ref. 191857543;HL;M-06-1-4-1;yes;10
102832;CO-Potentiometer mit Ansaugluft-Temperaturfühler G-Lader-Motoren Golf 2 und Polo OE Ref. 037906040B;HL;;no;0
102838;Ansaugschlauch für 2,0L T3 Luftgekühlt MKB CU und CV OE Ref. 071129967;HL;2-K4-703;yes;1
102839;Ansaugschlauch für 2,1L T3  MKB DJ MV und SR OE Ref. 025129627L;HL;2-K4-704;yes;1
102840;Ansaugschlauch für 2,1L T3  MKB SS OE Ref. 025129627M;HL;2-K6-702;yes;1
102841;Ansaugschlauch zw. Luftfilter und Vergaser T3 MKB DG und SP OE Ref. 025129627D;HL;;no;0
102842;Haltewinkel für Rechteck Scheinwerfer T3 OE Ref. 255853647;HL;2-N7-705-6;yes;2
102843;Dichtung oben für Ansaugkrümmer 50mm, Golf 2, Scirocco, GTI 16V OE Ref. 027129717F;HL;2-M5-614;yes;2
102844;Verbindungsstange für Heckklappenschloss Caddy 14D OE Ref. 179829627;HL;L-06-1-05;yes;5
102845;Sechskantschraube für Türscharnier M8X22 OE Ref. N90116301;HL;;no;0
102846;Dichtung zwischen Hauptbremszylinder und Bremskraftverstärker Golf &Co, T4, OE Ref. 357611243;HL;2-N7-405-1;yes;14
102847;Wagenheberaufnahme vorne, Golf 2 &Co, OE Ref. 321803615;HL;2-J2-201;yes;8
102848;Dichtung für Wischerwelle Golf 2 &Co, T4 Bus und Polo OE Ref. N90465501;HL;2-N15-703-2;yes;0
102849;Distanzring für Wischerwelle Golf 2 &Co, T4 und Polo OE Ref. 867955251;HL;2-N15-703-3;yes;6
102850;Dichtung für Kühler T3 OE Ref. 431819225;HL;R24-041;yes;0
102851;Keilriemenscheibe vorne für Wasserpumpe 1,9L und 2,1L T3 OE Ref. 025121031A;HL;M-06-1-1-2;yes;1
102852;Keilriemenscheibe 2 Stück für Wasserpumpe 1,9L und 2,1L T3 OE Ref. 025121031B, 025121031A;HL;M-06-1-1-1;yes;3
102853;Kühlwasserschlauch zw. Verteilerstück und Vorlauf Kühler 1,9 / 2,1L T3 OE Ref. N90287303;HL;2-I5-405-2;yes;3
102854;Kühlwasserschlauch zw. Kühler und Wasserrohr Vorlauf  T3 32mm Variante OE Ref. N90166601;HL;2-I3-401;yes;2
102855;Kühlwasserschlauch zw. rechtem Zylinderkopf und Wasserpumpe 1,9-2,1L T3 OE Ref. N90128703;HL;2-I5-403-1;yes;2
102856;T-Stück für Unterdrucksystem am Saugstutzen T3 MKB CU OE Ref. 071129755A;HL;2-N17-205-3;yes;1
102857;L-Stück für Unterdrucksystem am Saugstutzen Rechts T3 MKB CU OE Ref. 021129637F;HL;2-N17-205-5;yes;2
102858;Halter für Motorlager vorne Golf 2 &Co ab 1,6L Hubraum OE Ref. 191199273C;HL;2-L3-502;yes;1
102859;Halter bzw. Führung für Stoßfängerabdeckung Golf 2 &Co und Passat OE Ref. 165807193B;HL;M-01-4-3;yes;16
102860;Kühlwasserschlauch zw. Thermostat und Ansaugbrücke Golf 2 &CO, Polo  MKB MH 2G OE Ref. 030121054;HL;2-H2-305;yes;1
102861;Zusatzwasserpumpe elektrisch für T3 & T4 Bus OE Ref. 251965561B;HL;2-F1-502-1;yes;1
102862;Halter für elektrische Zusatzwasserpumpe  T3 OE Ref. 035959209F;HL;M-06-1-2-1;yes;0
102863;Schlauchschelle 16-27 x 9 mm für Kühlwasserschlauch OE Ref. N90561801;HL;2-N17-603-5;yes;32
102864;Schlauchschelle 20-32 x 9 mm für Kühlwasserschlauch, OE Ref. N10258101;HL;2-N17-603-4;yes;13
102866;Halter für Tankgeber aus Edelstahl  T3 Syncro OE Ref. 251201145B;HL;M-06-6-2-4;yes;1
102867;Ölwanne für Automatikgetriebe Golf &Co OE Ref. 010321361F;HL;;no;0
102868;Dichtung für Vergaser Deckel Golf 1 &Co für 31 PICT-5 und 34 PICT-5 OE Ref. 036129281A;HL;;no;0
102869;Dichtung für Vergaser Deckel Golf 1 &Co für 31 PICT-5 und 34 PICT-5 OE Ref. 052129281;HL;;no;0
102870;Tank, Entlüftungsschlauch, Golf Cabrio, Scirocco 53b, ab Bj. 07/1983, OE Ref. 533201153;HL;N-03-1-2-1;yes;0
102871;"Blechschild ""Im Golf seht Ihr mich wieder"" Golf1";HL;L-18-01-02;yes;4
102872;Volkswagen Schlüsselanhänger Silber;HL;R01-032-05;no;0
102873;Auto-Entfeuchter 2x 600g Beutel Airdry-Duo für die Winterzeit;HL;;no;0
102874;Schlüsselanhänger mit Schriftzug GTI als Gravur;HL;;no;0
102875;Schlüsselanhänger mit Schriftzug Scirocco als Gravur;HL;;no;0
102876;GTI - Regenschirm mit rotem Logo;HL;;no;0
102877;Original Volkswagen VW GTI Kollektion Becher GTI One Rot 5KA069601A;HL;;no;0
102879;Original Volkswagen Classic Parts Zippo Feuerzeug Golf II GTI 16V;HL;;no;0
102880;Hohlschraube M14 x 1,5mm OE Ref. N90358003;HL;M-04-1-1-3;yes;7
102881;Unterlage, selbstklebend OE Ref. 321201299;HL;M-04-1-2-5;yes;4
102882;Klemme, Halter für Kraftstoffschlauch, OE Ref. 171201250;HL;2-M3-201-5;yes;13
102883;Kraftstofffilter, Vorlauffilter, Golf 1 Diesel Bj. 07/83 OE Ref. 431201511A;HL;2-N17-502-3;yes;1
102884;Hutmutter für Kraftstoffpumpe Golf 1 &Co mit K-Jetronic OE Ref. N0110691;HL;2-N17-402-1;yes;29
102885;Klammer, Halter für Benzinpumpe Golf 1 Cabrio und Polo OE Ref. 867201515;HL;2-N17-303-3;yes;1
102886;Gummischutzprofil für Kraftstofftank Golf 1 &Co OE Ref. 533201647;HL;;no;0
102887;Sechskantbundmutter aus Kunststoff, 5 mm, Golf 1 & Co, OE Ref. 171201969;HL;M-04-1-2-4;yes;8
102888;Linsenblechschraube 4,8X13mm OE Ref. N0139681;HL;2-O3-605-3;yes;855
102889;Unterlegscheibe M6 6,4X18X1,6 OE Ref. N01166615;HL;2-O5-604-5;yes;99
102890;Kühlwasserrohr, doppeltes Wasserrohr 1,9L und 2,1L T3 Syncro, OE Ref. 251121064;HL;2-H2-404-2;yes;1
102891;Kühlwasserrohr bzw. Kühlwasserflansch T3 1,9L und 2,1L, OE Ref. 025121171;HL;M-04-1-1-5;yes;2
102892;Scharnier für Schiebetür rechts bis Bj. 08/84 T3 OE Ref. 251843336A;HL;L-14-4-6-3;yes;1
102893;Dichtung für Tankeinfüllstutzen T3 Syncro OE Ref. 251201939A;HL;2-K1-301-3;yes;1
102894;Blende, Aufnahme für Tankeinfüllstutzen T3 Syncro OE Ref. 251809933;HL;M-01-3-5;yes;1
102895;Pulldown Dose für Vergaser T3 1,9L MKB DG OE Ref. 025129220;HL;;no;0
102898;Reparaturblech Radlauf, Kniestück, Einstieg vorne links, T3, Top Qualität OE Ref. 251809243B;HL;3-K2-201;yes;6
102899;Reparaturblech Radlauf, Kniestück, Einstieg vorne Rechts T3 Top Qualität OE Ref. 251809244B;HL;3-K2-202;yes;3
102900;Reparaturblech Einstieg, Trittstufe vorne links für T3, OE Ref. 251801173;HL;3-F2-803;yes;2
102901;Reparaturblech Einstieg, Trittstufe vorne rechts für T3 OE Ref. 251801174;HL;3-F2-802;yes;2
102902;Reparaturblech Radlauf / Radhaus, hinten links, T3, OE Qualität, OE Ref. 251809155;HL;3-K2-102;yes;3
102903;Reparaturblech Radlauf / Radhaus, hinten rechts, T3, OE Qualität, OE Ref. 251809156;HL;3-K2-103;yes;7
102904;Reparaturblech D-Säule unten, hinten Links T3 OE Ref. 251813367;HL;3-F8-504;yes;1
102905;Reparaturblech D-Säule unten, hinten Rechts T3 OE Ref. 251813368;HL;3-F8-503;yes;1
102906;Reparaturblech, Motorraum hinten links T3, OE Ref. 251801559A;HL;3-F4-503;yes;3
102907;Reparaturblech, Motorraum hinten rechts, T3, OE Ref. 251801560;HL;3-F4-502;yes;2
102908;Aufnahme für Wagenheber vorne Links T3 OE Ref. 251803229;HL;3-F6-803;yes;1
102909;Aufnahme für Wagenheber vorne Rechts T3 OE Ref. 251803230;HL;3-F6-805;yes;2
102910;Reparaturblech B-Säule unten links T3 OE Ref. 251809253;HL;3-H4-201;yes;7
102911;Reparaturblech, B-Säule, unten rechts, T3, OE Ref. 251809254;HL;3-H2-209;yes;2
102912;Bremssattel, Festsattel Vorne Links T3 Bj. 05/79-05/86 OE Ref. 251615107;HL;3-A4-502;yes;2
102913;Bremssattel, Festsattel Vorne Rechts T3 Bj. 05/79-05/86 OE Ref. 251615108;HL;3-A4-501;yes;2
102914;Bremssattel, Faustsattel, vorne LINKS, T3 ab Bj.08/85, OE Ref. 251615123D;HL;3-A4-506;yes;1
102915;Bremssattel, Faustsattel, vorne RECHTS, T3 ab Bj.08/85, OE Ref. 251615124D;HL;3-A4-505;yes;1
102916;Sechskantmutter M8 - SW13 OE Ref. N0110088;HL;2-O3-603-4;yes;107
102917;Federscheibe M8 OE Ref. N0120387;HL;2-O3-603-3;yes;120
102921;Folienschriftzug FLAIR hinten titansilber-dunkel Golf 2 &Co OE Ref. 167853750E 3ZZ;HL;2-N3-405-2;yes;2
102922;Folienschriftzug SKY grau-metallic Golf 2 OE Ref. 191853750F 1ZH;HL;2-N3-405-3;yes;0
102923;"Schriftzug ""Turbo Diesel"" für Kühlergrill bis Bj. 08/87, Golf 2 & Co, OE Ref. 191853679B";HL;2-N5-401-1;yes;2
102924;Dichtung für Stegblech / Wasserabweiser und Motorhaube Golf 2 &Co, T4, OE Ref. 701823737;HL;2-H5-603;yes;3
102926;Federteller vorne Golf 2 &Co OE Ref. 191412341;HL;2-J6-402-3;yes;2
102927;Federbein vorne inkl. Stoßdämpfer, BILSTEIN B4, Golf 2 &Co, OE Ref. 191413031J;HL;3-F3-401;yes;6
102928;Stoßdämpfer von BILSTEIN, Golf 2 &Co, Hinten, OE Ref. 191513033J;HL;3-F3-402;yes;8
102929;Entlüftungsrohr für Kraftstoffausgleichsbehälter T3 OE Ref. 251201167B;HL;2-N17-401-4;yes;4
102930;Schlüsselbrett VW Golf 2, 2-Türer aus Edelstahl;HL;R24-178-06;yes;0
102931;Schlüsselbrett VW Caddy 14d aus Edelstahl;HL;R24-179-05;yes;1
102935;Werkzeug, Einsatz für VW Domlager mit Gewindehülse;HL;2-L1-301-5;yes;0
102936;Frostschutzprüfer für Ethylen- und Glycol-Lösungen;HL;2-L1-402-3;yes;0
102937;Zierleistenkeile-Satz, verschiedene Formen 5-tlg.;HL;2-L1-201;yes;3
102938;Auspuff-Federspanner für VAG;HL;2-L1-401-3;yes;1
102939;Ölfilterschlüssel 14-kant Ø 76mm;HL;2-L1-302-1;yes;4
102940;Bremsen-Entlüfftung Schlauch mit Rückschlagventil 1,2 m;HL;2-L1-301-4;yes;1
102941;Vakuumpumpe/Bremsenentlüfter max. 0,7 bar;HL;2-L1-402-1;yes;0
102942;Polsterklammerzange (ohne Klammern);HL;2-L1-301-1;yes;1
102943;Polsterklammern - 100 Stück;HL;2-L1-301-2;yes;3
102944;Bremskolben-Rückstell-Werkzeug, universal, 0-66 mm;HL;2-L1-302-3;yes;2
102945;Präzisions-Fühlerlehren bestehend aus 20 Blatt;HL;2-L1-301-3;yes;1
102946;Auto-Luftentfeuchter, Pingi LV-A300 mit Feuchtigkeits-Indikator, 300g;HL;2-K5-705-1;yes;2
102948;Dichtung, Tülle für Tachowelle im Achsschenkel T3 OE Ref. 111957855B;HL;M-06-6-3-1;yes;6
102949;Kupplungs-Zentrierdorn, 24 Zähne, Montagehilfe für Kupplung, T3 WBX;HL;M-06-6-4-6;yes;6
102950;Haubenstange, schwarz, Aufsteller für Motorhaube, Golf 1 &Co, OE Ref. 171823363;HL;2-K5-308;yes;1
102951;Schlüsselbrett VW Golf 1 Cabrio aus Edelstahl;HL;R24-179-02;yes;0
102952;Schlüsselbrett VW Golf 1 aus Edelstahl;HL;R24-178-04;yes;1
102953;Schlüsselbrett VW Polo 86c Coupe aus Edelstahl;HL;R24-179-03;yes;0
102954;Schlüsselbrett VW Polo 86c Steilheck aus Edelstahl;HL;R24-178-05;yes;0
102955;Schlüsselbrett VW T3 Doka aus Edelstahl;HL;R24-179-04;yes;1
102956;Schlüsselbrett VW T3 Bus aus Edelstahl;HL;R24-179-01;yes;2
102957;Schlüsselbrett VW T3 Westfalia aus Edelstahl;HL;R24-115-02;yes;2
102958;Kühlmittel, Frostschutz, 1,5L Konzentrat, G12+ Farbe OE Ref. G012A8FA1;HL;2-K5-802;yes;6
102959;Frostschutz, Scheibenreinigungsanlage, Konzentrat 1 Liter mit Citrus-Duft und Aktiv-Reiniger;HL;2-K5-803;yes;1
102960;ATE Bremsflüssigkeit SL DOT4 1 Liter;HL;2-K5-701;yes;3
102961;ATE Plastilube 75 ml Montagepaste für Bremsanlage;HL;2-K5-702-4;yes;3
102962;Bremsenreiniger 500ml, Schnellreiniger für Brems- und Kupplungsteile;HL;2-K5-205;yes;12
102963;Sechskantmutter M18X1 für innenverstellbaren Außenspiegel Golf &Co N90054101;HL;2-O5-601-2;yes;4
102965;Flansch, Thermostat-Gehäuse, Golf, Polo, bis 1,3 L, ab Bj. 08/83 OE Ref. 052121121E;HL;;no;0
102966;Keilriemenscheibe Kurbelwelle Golf &Co mit Servolenkung OE Ref. 055105255J;HL;;no;0
102967;Schlauch Kurbelgehäuseentlüftung T3 Turbodiesel OE Ref. 068103493AE;HL;2-J6-705;yes;1
102968;Riemenscheibenhälfte für Servopumpe T3 Diesel und Turbodiesel OE Ref. 068145255C;HL;M-06-5-4-4;yes;3
102969;Öleinfüllrohr T3 Luftgekühlt MKB CT und CZ OE Ref. 070115304;HL;;no;0
102970;Dichtung zwischen Getriebe- und Kupplungsgehäuse T3 OE Ref. 091301131;HL;2-M3-706;yes;2
102971;Sicherungskappe Schaltgetriebe T3 Unter Achswellenflansch OE Ref. 091301197;HL;N-05-5-5-4;yes;6
102972;Dichtung für hinteren Deckel vom 4 Gang Getriebe T3 bis Bj.85 OE Ref. 091301215;HL;2-M3-707;yes;1
102973;Dichtung, Lagerschild zu Getriebegehäuse, 4 & 5 Gang Getriebe, T3 Bus, OE Ref. 091301215A;HL;2-M3-708;yes;2
102974;Clip für Kühlergrill Golf 2 &Co ab Bj. 08/87 OE Ref. 165853674;HL;2-N13-604-2;yes;71
102975;Kontaktgeber am Automatik-Wählhebel, Golf &Co, Passat und T3, OE Ref. 171927145A;HL;2-N5-601-4;yes;1
102976;Steckergehäuse, 14-polig für Sicherungskasten, Golf & Co, Passat, T3, OE Ref. 171971971R;HL;2-N7-803-5;yes;2
102977;Geber, Sensor für Kraftstoffvorratsanzeige Caddy 14D OE Ref. 179919051C;HL;;no;0
102978;Gummi-Metall Lager, Getriebeaufhängung, T3 Syncro, OE Ref. 183199381A;HL;2-K4-403-3;yes;2
102979;Luftschlauch zw. Luftfilter und Innenkotflügel Golf 2 &Co OE Ref. 191129627;HL;;no;0
102980;Stütze für Hinterachskörper passend für Golf 2 syncro OE Ref. 191505119;HL;2-K4-402-2;yes;0
102981;Gummi-Metall-Lager für Schräglenker mit exzentrischer Buchse Golf 2 syncro OE Ref. 191505383A;HL;2-K4-402-3;yes;1
102982;Gummi-Metall-Lager für Schräglenker Golf 2, Passat 2 Syncro, OE Ref. 191505383B;HL;N-10-2-5-1;no;0
102983;Unterdruckrohr mit Rückschlagventil für Bremskraftverstärker Golf 2 &CO OE Ref. 191611931A;HL;2-N7-302-6;yes;3
102984;Rückschlagventil mit 2 Abgängen für Unterdruckleitung Golf &Co OE Ref. 191611933E;HL;2-N9-302-6;yes;14
102985;Abdeckkappe für Lufteinlass vorn in breiter GL Stoßstange Golf 2 &CO OE Ref. 191807245 01C;HL;N-13-0-2-5;yes;21
102986;Fensterheber elektrisch, inkl. Motor, vorne links, Golf 2 & Co ab Bj. 08/87, OE Ref. 191837461;HL;L-18-13;yes;2
102987;Fensterheber elektrisch, inkl. Motor, vorne rechts, Golf 2 & Co ab Bj. 08/87, OE Ref. 191837462;HL;L-18-08;yes;2
102988;Dekorfolie schwarz, Schweller Rechts/Links, Golf 2, 2-Türer, OE Ref. 191853385A 6DA;HL;2-N5-402-1;yes;3
102989;Zierstreifen für Kotflügel links in satinschwarz Golf 2 &Co, OE Ref. 191853507 6BX;HL;2-N5-501-4;yes;2
102990;Zierstreifen für Kotflügel rechts in satinschwarz Golf 2 &Co OE Ref. 191853508 6BX;HL;2-N5-501-3;yes;2
102991;Zierstreifen für Tür vorne links in satinschwarz Golf 2 &Co OE Ref. 191853515A 6BX;HL;2-N5-502-2;yes;3
102992;Zierstreifen für Tür vorne rechts in satinschwarz Golf 2  OE Ref. 191853516A 6BX;HL;;no;0
102993;Zierstreifen für Seitenteil links in satinschwarz Golf 2 OE Ref. 191853535A 6BX;HL;2-N5-501-2;yes;2
102994;Zierstreifen für Seitenteil rechts in satinschwarz Golf 2 &Co OE Ref. 191853536A 6BX;HL;2-N5-501-5;yes;2
102995;Zierstreifen für Abschlussblech, hinten, satinschwarz, Golf 2 &Co, OE Ref. 191853937 6BX;HL;2-N5-501-1;yes;2
102996;Steinschlagschutzecke für Radlauf, hinten links, ab BJ 08/87, Golf 2 &Co, OE Ref. 191853931B;HL;pickware_unknown_location;no;-1
102996;Steinschlagschutzecke für Radlauf, hinten links, ab BJ 08/87, Golf 2 &Co, OE Ref. 191853931B;HL;2-K7-202;yes;16
102997;Steinschlagschutzecke für Radlauf, hinten rechts, ab BJ 08/87, Golf 2 &Co, OE Ref. 191853932B;HL;2-K7-203;yes;7
102998;Halteleiste für Schwellerverbreiterung, Golf 2 &Co., ab Bj. 08/87, OE Ref. 191853941;HL;3-H3-211;yes;4
102999;Dekorfolie für Heckklappe, Golf 2, OE Ref. 191853042 6BX;HL;2-N1-804;yes;10
103000;Zierstreifen für Tür links hinten 4-türig in satinschwarz Golf 2 &Co OE Ref. 191853753A 6BX;HL;2-N5-501-6;yes;1
103001;Zierstreifen für Tür rechts hinten 4-türig in satinschwarz Golf 2 &Co OE Ref. 193853754A 6BX;HL;2-N5-502-1;yes;1
103002;Bremssattelbürste aus Stahldraht, 220 mm lang;HL;N-01-3-2-5;yes;2
103003;Dekorfolie schwarz für Außenschweller Links, Golf 2, 4-Türer, OE Ref. 193853385A 6DA;HL;;no;0
103004;Rohr-Biegezange für Rohr-Ø 6, 8 und 10 mm;HL;2-L1-303-1;yes;4
103005;Dekorfolie ,Satz ,schwarz, Schweller rechts und links, Golf 2, 4-Türer, OE Ref. 193853386A 6DA;HL;2-N3-504-3;yes;1
103006;Rohr-Biegezange für Rohr-Ø 3 - 4,75 - 6 mm;HL;2-L1-302-2;yes;2
103008;Halter für Nebelscheinwerfer, rechts für GL-Stoßstange Golf 2 &Co OE Ref. 191941706;HL;N-05-5-3-4;yes;1
103009;Halter für Nebelscheinwerfer, links für GL-Stoßstange Golf 2 &Co OE Ref. 191941705;HL;3-F6-804;yes;2
103010;Halteclip für den Halterahmen des Steuergerätes, Golf 2 &Co und T3, T4, OE Ref. 191906276;HL;2-N7-703-6;yes;8
103011;Steckergehäuse 2-polig mit Dichtung Golf &Co OE Ref. 191906232A;HL;2-N7-804-2;yes;6
103012;Thermostatgehäuse für T3 1,9l und 2,1l ab Bj. 1985 OE Ref. 025121115;HL;2-F3-801;yes;1
103013;Thermostatgehäuse für T3 1,9l  mit MKB DG und SP OE Ref. 025121115A;HL;2-F3-802;yes;1
103014;Klammer für Luftfilter Deckel 23,5 mm Golf und Co Passat OE Ref. 052129614C;HL;N-05-3-3-1;yes;3
103015;Gummi / Metall Ventildeckeldichtung ab 1,5L Hubraum Golf &Co Passat T3  OE Ref.026103483F;HL;2-M1-604;yes;3
