SKU;Variant HS Code
SW12358;87089997
SW12361;87089997
SW12367;87089997
SW12370;87089997
SW12371;87089997
SW12372;87089997
SW12373;87089997
SW12374;87089997
SW12375;73269098
SW12377;87089299
SW12380;87089997
SW12382;87089299
SW12383;87089299
SW12384;83023000
SW12387;87089997
SW12388;87089390
SW12390;87089997
SW12391;87089997
SW12407;87089997
SW12408;87089997
SW12412;73043982
SW12413;73043982
SW12414;87089997
SW12416;73043982
SW12418;87089997
SW12419;87089997
SW12420;87089997
SW12421;84841000
SW12422;84841000
SW12423;87089997
SW12424;87089997
SW12426;87089997
SW12427;87089997
SW12430;87089997
SW12431;87089997
SW12432;87089997
SW12434;87089997
SW12435;87089997
SW12439;87089997
AT_SW11998;87089997
SW12451;87089997
SW12456;87089997
SW12461;87089997
SW12467;87089997
SW12468;87089997
SW12485;87089997
SW12498;87089997
SW12507;87089997
SW12359;87089997
SW12378;87089997
SW12508;87089997
SW12512;87089997
SW12515;85122000
SW12516;87089997
SW12520;87089997
SW12525;87089997
SW12537;87089997
SW12547;87082990
SW12548;87082990
SW12554;87089997
SW12569;87089997
SW12574;87089997
SW12576;87089997
SW12581;87089997
SW12583;87089997
SW12594;87089997
SW12595;87089997
SW12616;87089997
SW12617;87089997
SW12618;87089997
SW12619;87089997
SW12621;87089997
SW12622;87089997
SW12631;87089997
SW12644;87089997
SW12647;87089997
SW12648;87089997
SW12649;87089997
SW12650;87089997
SW12652;87089997
SW12653;87089997
SW12654;87089997
SW12655;87089997
SW12656;87089997
SW12657;87089997
SW12658;87089997
SW12661;87089997
SW12662;87089997
SW12663;87089997
SW12664;87089997
SW12665;87089997
SW12666;87089997
SW12667;87089997
SW12668;87089997
SW12592;87089997
SW12669;87089997
SW12670;87089997
SW12671;87089997
SW12672;87089997
SW12673;87089997
SW12674;87089997
SW12675;87089997
SW12676;87089997
SW12678;87089997
SW12680;87089997
SW12681;87089997
SW12682;87089997
SW12684;87089997
SW12685;87089997
SW12686;87089997
SW12687;87089997
SW12688;87089997
SW12690;87089997
SW12691;87089997
SW12692;87089997
SW12693;87089997
SW12694;87089997
SW12695;87089997
SW12696;87089997
SW12697;87089997
SW12698;87089997
SW12699;87089997
SW12701;87089997
SW12702;87089997
SW12703;87089997
SW12704;87089997
SW12705;87089997
SW12706;87089997
SW12707;87089997
SW12708;87089997
SW12709;87089997
SW12710;87089997
SW12711;87089997
SW12712;87089997
SW12713;87089997
SW12740;87089997
SW12741;87089997
SW12742;87089997
SW12749;87089997
SW12753;87089997
SW12754;87089997
SW12756;87089997
SW12774;87089997
AT_102529;87089997
AT_102528;87089997
SW12778;87089997
SW12781;87089997
B-100347;87089997
B-100346;87089997
SW12787;87089997
SW12788;87082990
SW12789;87082990
SW12790;87089997
SW12791;87089997
SW12792;87089997
B-102692;87089997
B-102693;87089997
B-103111;87081090
B-103113;87081090
B-103395;87081090
B-WARE-103111;87081090
B-WARE-102693;87089997
AT-SW11999;87089997
SW12813;87081090
SW12815;87089997
B-2-103110;87081090
B-3-103112;87081090
SW12822;87089997
SW12823;87089997
SW12825;87082990
SW12826;87082990
SW12827;87082990
SW12828;87082990
SW12829;87082990
SW12830;87082990
SW12831;87082990
SW12832;87081090
SW12833;87081090
SW12834;87081090
SW12835;87081090
SW12837;87089997
SW12838;83023000
SW12839;40093100
SW12840;40093100
SW12841;87089997
SW12842;87089997
SW12843;87089997
B-103459;87089997
B-2-103459;87089997
B-2-102693;87089997
SW12849;87089997
SW12850;87089997
SW12851;87089997
SW12853;40093100
SW12854;87089997
SW12855;40093100
SW12856;40093100
SW12857;40093100
SW12858;87089997
100128;87083099
100216;87089997
100227;87089997
100229;87089997
100280;87089997
100281;87089997
100331;87089997
100350;87089997
100361;87089997
100369;87089997
100376;87089997
100385;87089997
100425;73079100
100491;87089997
100532;87089997
100582;90278990
100602;87083099
100546;87089997
100590;87083099
100626;87089997
100654;87089997
100699;87089997
100705;85443000
100706;85443000
100748;87089997
100749;87089997
100751;87089997
100770;87089997
100792;40093100
100815;87089997
100862;87089997
100863;87089997
100865;87089997
100928;87089997
101047;87089499
101091;87089997
101107;87089997
101221;87089997
101392;87089997
101471;87089997
101127;87089997
101130;87089997
101151;87089997
101152;87089997
101178;87089997
101199;84099100
101211;87089997
101212;87089997
101216;85365015
101243;87089997
101272;87089997
101282;87089997
101317;87084099
101350;87084099
101365;87089997
101366;87089997
101371;87089997
101476;87089997
101610;87089997
101632;87089997
101635;87089997
101636;83023000
101637;87089997
101640;87089997
101643;87089997
101663;87089997
101668;87089997
101669;87089997
101670;87089997
101680;87089997
101682;87089997
101683;87089997
101755;87089997
100447;87089997
101789;87089997
101798;87089997
101920;87089997
101924;87089997
101260;87089997
101940;87089997
101952;87089997
101986;87089997
102013;87089997
102026;87089997
102028;87089997
102029;87089997
102030;87089997
102034;87089997
102038;87089997
102045;87089997
102046;87089997
102047;87089997
102048;87089997
102049;87089997
102058;87089997
102065;87089997
102066;87089997
102068;87089997
102070;87089997
102071;87089997
102072;87089997
102086;87089997
102087;87089997
102097;87089997
102110;87089997
102111;87089997
102120;87089997
102121;87089997
102127;87089997
102133;87089997
102139;87089997
102142;87089997
102144;87089997
102147;87089997
102148;87089997
102151;87089997
102158;87089997
102160;87089997
102162;87089997
102163;87089997
102176;87089997
102193;87089997
102202;87089997
102203;87089997
102205;87089997
102206;87089997
102218;87089997
102228;87089997
102267;87089997
102304;87089997
102409;87089997
102454;87089997
102469;87089997
102471;87089997
102478;87089997
102477;87089997
102431;87089997
102435;87082990
102493;87089997
102442;87089997
101027;87082990
102441;87089997
102499;87089997
102439;87089997
102502;87089997
101026;87082990
102508;40093100
102507;40093100
102511;73043982
102527;87089997
102546;87089997
102542;85119000
102568;87089997
102606;87089997
102624;87089997
102666;87089997
102671;87089997
102679;87089997
102699;87089997
102708;87089997
102712;87089997
102713;87089997
102725;87089997
102726;87089997
102727;87089997
102732;87089997
102733;87089997
102735;87089997
102743;87089235
102744;87089235
102751;87089997
102754;87089997
102771;87089997
102775;87089997
102784;87089997
102796;87089997
102797;87089997
102798;87089997
102821;87089997
100515;87089997
102473;87089997
100516;87089997
100517;87089997
101095;87089997
102838;87089997
102839;87089997
102840;87089997
102851;87089997
102860;87089997
102868;87089997
102892;87082990
102893;40169300
102894;84099100
102921;87089997
102922;87089997
102969;87089997
102972;87089997
102981;87089997
103000;87089997
103001;87089997
103013;39172900
103034;87089997
103035;87089997
103128;87089997
103129;87089997
103137;87089997
103147;87089997
103150;87089997
103162;87089997
103206;87089997
103219;87089997
103221;87082990
103222;87089997
103237;87089997
103251;87089997
103252;87089997
103264;87089997
103265;87089997
102874;87089997
102877;87089997
102879;87089997
102931;87089997
102940;87089997
